date,month_year,airport_group,airport,total_passengers,terminal_passengers,transit_passengers
2020-11-01,November 2020,Other UK Airports,LANDS END (ST JUST),1314,1314,0
2020-11-01,November 2020,Other UK Airports,LEEDS BRADFORD,11221,11221,0
2020-11-01,November 2020,Other UK Airports,LERWICK (TINGWALL),111,111,0
2020-11-01,November 2020,Other UK Airports,LIVERPOOL (JOHN LENNON),21081,21081,0
2020-11-01,November 2020,London Area Airports,LONDON CITY,7934,7934,0
2020-11-01,November 2020,London Area Airports,LUTON,106894,106894,0
2020-11-01,November 2020,Other UK Airports,MANCHESTER,166002,165820,182
2020-11-01,November 2020,Other UK Airports,NEWCASTLE,17305,17056,249
2020-11-01,November 2020,Other UK Airports,NEWQUAY,550,550,0
2020-11-01,November 2020,Other UK Airports,NORWICH,7602,7602,0
2020-11-01,November 2020,Other UK Airports,PRESTWICK,2252,2251,1
2020-11-01,November 2020,Other UK Airports,SCATSTA,0,0,0
2020-11-01,November 2020,Other UK Airports,SOUTHAMPTON,4925,4925,0
2020-11-01,November 2020,London Area Airports,SOUTHEND,1190,1190,0
2020-11-01,November 2020,London Area Airports,STANSTED,160991,160758,233
2020-11-01,November 2020,Other UK Airports,STORNOWAY,2353,2276,77
2020-11-01,November 2020,Other UK Airports,SUMBURGH,11616,11426,190
2020-11-01,November 2020,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,1353,1008,345
2020-11-01,November 2020,Other UK Airports,TIREE,336,315,21
2020-11-01,November 2020,Other UK Airports,WICK JOHN O GROATS,0,0,0
2020-12-01,December 2020,Other UK Airports,ABERDEEN,58939,58939,0
2020-12-01,December 2020,Non UK Reporting Airports,ALDERNEY,2392,2392,0
2020-12-01,December 2020,Other UK Airports,BARRA,256,256,0
2020-12-01,December 2020,Other UK Airports,BELFAST CITY (GEORGE BEST),34333,34333,0
2020-12-01,December 2020,Other UK Airports,BELFAST INTERNATIONAL,77765,77635,130
2020-12-01,December 2020,Other UK Airports,BENBECULA,1081,884,197
2020-12-01,December 2020,Other UK Airports,BIGGIN HILL,200,200,0
2020-12-01,December 2020,Other UK Airports,BIRMINGHAM,83740,82710,1030
2020-12-01,December 2020,Other UK Airports,BLACKPOOL,0,0,0
2020-12-01,December 2020,Other UK Airports,BOURNEMOUTH,2469,2469,0
2020-12-01,December 2020,Other UK Airports,BRISTOL,50704,50472,232
2020-12-01,December 2020,Other UK Airports,CAMPBELTOWN,206,140,66
2020-12-01,December 2020,Other UK Airports,CARDIFF WALES,832,832,0
2020-12-01,December 2020,Other UK Airports,CITY OF DERRY (EGLINTON),5964,5964,0
2020-12-01,December 2020,Other UK Airports,DONCASTER SHEFFIELD,11222,11199,23
2020-12-01,December 2020,Other UK Airports,DUNDEE,498,498,0
2020-12-01,December 2020,Other UK Airports,EAST MIDLANDS INTERNATIONAL,15357,15015,342
2020-12-01,December 2020,Other UK Airports,EDINBURGH,87301,87128,173
2020-12-01,December 2020,Other UK Airports,EXETER,1871,1690,181
2020-12-01,December 2020,London Area Airports,GATWICK,204922,204648,274
2020-12-01,December 2020,Other UK Airports,GLASGOW,54792,54543,249
2020-12-01,December 2020,Non UK Reporting Airports,GUERNSEY,5375,5375,0
2020-12-01,December 2020,London Area Airports,HEATHROW,1143561,1143417,144
2020-12-01,December 2020,Other UK Airports,HUMBERSIDE,1230,1230,0
2020-12-01,December 2020,Other UK Airports,INVERNESS,5266,5048,218
2020-12-01,December 2020,Other UK Airports,ISLAY,408,374,34
2020-12-01,December 2020,Non UK Reporting Airports,ISLE OF MAN,1789,1789,0
2020-12-01,December 2020,Other UK Airports,ISLES OF SCILLY (ST.MARYS),1948,1948,0
2020-12-01,December 2020,Non UK Reporting Airports,JERSEY,8983,8983,0
2020-12-01,December 2020,Other UK Airports,KIRKWALL,3801,3331,470
2020-12-01,December 2020,Other UK Airports,LANDS END (ST JUST),1971,1971,0
2020-12-01,December 2020,Other UK Airports,LEEDS BRADFORD,16740,16705,35
2020-12-01,December 2020,Other UK Airports,LERWICK (TINGWALL),87,87,0
2020-12-01,December 2020,Other UK Airports,LIVERPOOL (JOHN LENNON),33942,33942,0
2020-12-01,December 2020,London Area Airports,LONDON CITY,11188,11188,0
2020-12-01,December 2020,London Area Airports,LUTON,191389,191366,23
2020-12-01,December 2020,Other UK Airports,MANCHESTER,247729,247089,640
2020-12-01,December 2020,Other UK Airports,NEWCASTLE,30385,30253,132
2020-12-01,December 2020,Other UK Airports,NEWQUAY,864,864,0
2020-12-01,December 2020,Other UK Airports,NORWICH,6831,6831,0
2020-12-01,December 2020,Other UK Airports,PRESTWICK,1523,1523,0
2020-12-01,December 2020,Other UK Airports,SCATSTA,0,0,0
2020-12-01,December 2020,Other UK Airports,SOUTHAMPTON,4967,4967,0
2020-12-01,December 2020,London Area Airports,SOUTHEND,1244,1244,0
2020-12-01,December 2020,London Area Airports,STANSTED,198373,198254,119
2020-12-01,December 2020,Other UK Airports,STORNOWAY,2325,2221,104
2020-12-01,December 2020,Other UK Airports,SUMBURGH,11226,11055,171
2020-12-01,December 2020,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,1302,936,366
2020-12-01,December 2020,Other UK Airports,TIREE,242,230,12
2020-12-01,December 2020,Other UK Airports,WICK JOHN O GROATS,0,0,0
2021-01-01,January 2021,Other UK Airports,ABERDEEN,45816,45816,0
2021-01-01,January 2021,Non UK Reporting Airports,ALDERNEY,1521,1521,0
2021-01-01,January 2021,Other UK Airports,BARRA,144,144,0
2021-01-01,January 2021,Other UK Airports,BELFAST CITY (GEORGE BEST),18471,18471,0
2021-01-01,January 2021,Other UK Airports,BELFAST INTERNATIONAL,29163,29163,0
2021-01-01,January 2021,Other UK Airports,BENBECULA,1237,617,620
2021-01-01,January 2021,Other UK Airports,BIGGIN HILL,83,83,0
2021-01-01,January 2021,Other UK Airports,BIRMINGHAM,33967,33967,0
2021-01-01,January 2021,Other UK Airports,BLACKPOOL,0,0,0
2021-01-01,January 2021,Other UK Airports,BOURNEMOUTH,822,822,0
2021-01-01,January 2021,Other UK Airports,BRISTOL,18484,18484,0
2021-01-01,January 2021,Other UK Airports,CAMPBELTOWN,67,62,5
2021-01-01,January 2021,Other UK Airports,CARDIFF WALES,591,591,0
2021-01-01,January 2021,Other UK Airports,CITY OF DERRY (EGLINTON),1111,1111,0
2021-01-01,January 2021,Other UK Airports,DONCASTER SHEFFIELD,5153,5130,23
2021-01-01,January 2021,Other UK Airports,DUNDEE,4,4,0
2021-01-01,January 2021,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4802,4802,0
2021-01-01,January 2021,Other UK Airports,EDINBURGH,43413,43413,0
2021-01-01,January 2021,Other UK Airports,EXETER,502,502,0
2021-01-01,January 2021,London Area Airports,GATWICK,88358,88224,134
2021-01-01,January 2021,Other UK Airports,GLASGOW,29068,29068,0
2021-01-01,January 2021,Non UK Reporting Airports,GUERNSEY,3305,3305,0
2021-01-01,January 2021,London Area Airports,HEATHROW,677356,677356,0
2021-01-01,January 2021,Other UK Airports,HUMBERSIDE,1357,1357,0
2021-01-01,January 2021,Other UK Airports,INVERNESS,1128,1128,0
2021-01-01,January 2021,Other UK Airports,ISLAY,142,141,1
2021-01-01,January 2021,Non UK Reporting Airports,ISLE OF MAN,1218,1218,0
2021-01-01,January 2021,Other UK Airports,ISLES OF SCILLY (ST.MARYS),627,627,0
2021-01-01,January 2021,Non UK Reporting Airports,JERSEY,5665,5665,0
2021-01-01,January 2021,Other UK Airports,KIRKWALL,2722,2073,649
2021-01-01,January 2021,Other UK Airports,LANDS END (ST JUST),617,617,0
2021-01-01,January 2021,Other UK Airports,LEEDS BRADFORD,4775,4775,0
2021-01-01,January 2021,Other UK Airports,LERWICK (TINGWALL),11,11,0
2021-01-01,January 2021,Other UK Airports,LIVERPOOL (JOHN LENNON),16099,16099,0
2021-01-01,January 2021,London Area Airports,LONDON CITY,6474,6474,0
2021-01-01,January 2021,London Area Airports,LUTON,118405,118274,131
2021-01-01,January 2021,Other UK Airports,MANCHESTER,126963,126921,42
2021-01-01,January 2021,Other UK Airports,NEWCASTLE,11257,11197,60
2021-01-01,January 2021,Other UK Airports,NEWQUAY,126,126,0
2021-01-01,January 2021,Other UK Airports,NORWICH,5604,5604,0
2021-01-01,January 2021,Other UK Airports,OXFORD (KIDLINGTON),5,5,0
2021-01-01,January 2021,Other UK Airports,PRESTWICK,491,491,0
2021-01-01,January 2021,Other UK Airports,SCATSTA,0,0,0
2021-01-01,January 2021,Other UK Airports,SOUTHAMPTON,2949,2949,0
2021-01-01,January 2021,London Area Airports,SOUTHEND,447,447,0
2021-01-01,January 2021,London Area Airports,STANSTED,104477,104477,0
2021-01-01,January 2021,Other UK Airports,STORNOWAY,1488,1403,85
2021-01-01,January 2021,Other UK Airports,SUMBURGH,8756,8704,52
2021-01-01,January 2021,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,970,697,273
2021-01-01,January 2021,Other UK Airports,TIREE,113,107,6
2021-01-01,January 2021,Other UK Airports,WICK JOHN O GROATS,0,0,0
2021-02-01,February 2021,Other UK Airports,ABERDEEN,41538,41538,0
2021-02-01,February 2021,Non UK Reporting Airports,ALDERNEY,153,153,0
2021-02-01,February 2021,Other UK Airports,BARRA,185,183,2
2021-02-01,February 2021,Other UK Airports,BELFAST CITY (GEORGE BEST),14559,14559,0
2021-02-01,February 2021,Other UK Airports,BELFAST INTERNATIONAL,24480,24480,0
2021-02-01,February 2021,Other UK Airports,BENBECULA,1195,551,644
2021-02-01,February 2021,Other UK Airports,BIGGIN HILL,96,96,0
2021-02-01,February 2021,Other UK Airports,BIRMINGHAM,12082,12082,0
2021-02-01,February 2021,Other UK Airports,BLACKPOOL,0,0,0
2021-02-01,February 2021,Other UK Airports,BOURNEMOUTH,41,41,0
2021-02-01,February 2021,Other UK Airports,BRISTOL,4182,4182,0
2021-02-01,February 2021,Other UK Airports,CAMPBELTOWN,52,49,3
2021-02-01,February 2021,Other UK Airports,CARDIFF WALES,1354,1354,0
2021-02-01,February 2021,Other UK Airports,CITY OF DERRY (EGLINTON),1147,1147,0
2021-02-01,February 2021,Other UK Airports,DONCASTER SHEFFIELD,3703,3703,0
2021-02-01,February 2021,Other UK Airports,DUNDEE,0,0,0
2021-02-01,February 2021,Other UK Airports,EAST MIDLANDS INTERNATIONAL,151,151,0
2021-02-01,February 2021,Other UK Airports,EDINBURGH,19483,19483,0
2021-02-01,February 2021,Other UK Airports,EXETER,238,238,0
2021-02-01,February 2021,London Area Airports,GATWICK,32747,32747,0
2021-02-01,February 2021,Other UK Airports,GLASGOW,16119,16119,0
2021-02-01,February 2021,Non UK Reporting Airports,GUERNSEY,991,991,0
2021-02-01,February 2021,London Area Airports,HEATHROW,461188,461188,0
2021-02-01,February 2021,Other UK Airports,HUMBERSIDE,1090,1090,0
2021-02-01,February 2021,Other UK Airports,INVERNESS,373,373,0
2021-02-01,February 2021,Other UK Airports,ISLAY,182,181,1
2021-02-01,February 2021,Non UK Reporting Airports,ISLE OF MAN,963,963,0
2021-02-01,February 2021,Other UK Airports,ISLES OF SCILLY (ST.MARYS),649,649,0
2021-02-01,February 2021,Non UK Reporting Airports,JERSEY,2864,2864,0
2021-02-01,February 2021,Other UK Airports,KIRKWALL,3063,2431,632
2021-02-01,February 2021,Other UK Airports,LANDS END (ST JUST),649,649,0
2021-02-01,February 2021,Other UK Airports,LEEDS BRADFORD,905,905,0
2021-02-01,February 2021,Other UK Airports,LERWICK (TINGWALL),37,37,0
2021-02-01,February 2021,Other UK Airports,LIVERPOOL (JOHN LENNON),8337,8337,0
2021-02-01,February 2021,London Area Airports,LONDON CITY,3796,3796,0
2021-02-01,February 2021,London Area Airports,LUTON,96972,96972,0
2021-02-01,February 2021,Other UK Airports,MANCHESTER,78076,78060,16
2021-02-01,February 2021,Other UK Airports,NEWCASTLE,4596,4596,0
2021-02-01,February 2021,Other UK Airports,NEWQUAY,0,0,0
2021-02-01,February 2021,Other UK Airports,NORWICH,5369,5369,0
2021-02-01,February 2021,Other UK Airports,PRESTWICK,1,1,0
2021-02-01,February 2021,Other UK Airports,SCATSTA,0,0,0
2021-02-01,February 2021,Other UK Airports,SOUTHAMPTON,1864,1864,0
2021-02-01,February 2021,London Area Airports,SOUTHEND,0,0,0
2021-02-01,February 2021,London Area Airports,STANSTED,35058,35058,0
2021-02-01,February 2021,Other UK Airports,STORNOWAY,1338,1223,115
2021-02-01,February 2021,Other UK Airports,SUMBURGH,8943,8886,57
2021-02-01,February 2021,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,1522,1172,350
2021-02-01,February 2021,Other UK Airports,TIREE,158,142,16
2021-02-01,February 2021,Other UK Airports,WICK JOHN O GROATS,0,0,0
2021-03-01,March 2021,Other UK Airports,ABERDEEN,53831,53831,0
2021-03-01,March 2021,Non UK Reporting Airports,ALDERNEY,1021,1021,0
2021-03-01,March 2021,Other UK Airports,BARRA,221,221,0
2021-03-01,March 2021,Other UK Airports,BELFAST CITY (GEORGE BEST),17166,17166,0
2021-03-01,March 2021,Other UK Airports,BELFAST INTERNATIONAL,41776,41776,0
2021-03-01,March 2021,Other UK Airports,BENBECULA,1598,767,831
2021-03-01,March 2021,Other UK Airports,BIGGIN HILL,253,253,0
2021-03-01,March 2021,Other UK Airports,BIRMINGHAM,17885,17885,0
2021-03-01,March 2021,Other UK Airports,BLACKPOOL,0,0,0
2021-03-01,March 2021,Other UK Airports,BOURNEMOUTH,0,0,0
2021-03-01,March 2021,Other UK Airports,BRISTOL,6102,6102,0
2021-03-01,March 2021,Other UK Airports,CAMPBELTOWN,104,100,4
2021-03-01,March 2021,Other UK Airports,CARDIFF WALES,1669,1669,0
2021-03-01,March 2021,Other UK Airports,CITY OF DERRY (EGLINTON),1831,1831,0
2021-03-01,March 2021,Other UK Airports,DONCASTER SHEFFIELD,3771,3771,0
2021-03-01,March 2021,Other UK Airports,DUNDEE,0,0,0
2021-03-01,March 2021,Other UK Airports,EAST MIDLANDS INTERNATIONAL,71,71,0
2021-03-01,March 2021,Other UK Airports,EDINBURGH,20946,20946,0
2021-03-01,March 2021,Other UK Airports,EXETER,323,323,0
2021-03-01,March 2021,London Area Airports,GATWICK,35417,35417,0
2021-03-01,March 2021,Other UK Airports,GLASGOW,22221,22221,0
2021-03-01,March 2021,Non UK Reporting Airports,GUERNSEY,2351,2351,0
2021-03-01,March 2021,London Area Airports,HEATHROW,541703,541669,34
2021-03-01,March 2021,Other UK Airports,HUMBERSIDE,1575,1557,18
2021-03-01,March 2021,Other UK Airports,INVERNESS,476,476,0
2021-03-01,March 2021,Other UK Airports,ISLAY,297,292,5
2021-03-01,March 2021,Non UK Reporting Airports,ISLE OF MAN,1584,1584,0
2021-03-01,March 2021,Other UK Airports,ISLES OF SCILLY (ST.MARYS),1251,1251,0
2021-03-01,March 2021,Non UK Reporting Airports,JERSEY,4473,4473,0
2021-03-01,March 2021,Other UK Airports,KIRKWALL,4505,3478,1027
2021-03-01,March 2021,Other UK Airports,LANDS END (ST JUST),1251,1251,0
2021-03-01,March 2021,Other UK Airports,LEEDS BRADFORD,782,782,0
2021-03-01,March 2021,Other UK Airports,LERWICK (TINGWALL),82,82,0
2021-03-01,March 2021,Other UK Airports,LIVERPOOL (JOHN LENNON),7463,7463,0
2021-03-01,March 2021,London Area Airports,LONDON CITY,4317,4317,0
2021-03-01,March 2021,London Area Airports,LUTON,102107,102107,0
2021-03-01,March 2021,Other UK Airports,MANCHESTER,94577,94571,6
2021-03-01,March 2021,Other UK Airports,NEWCASTLE,8074,8074,0
2021-03-01,March 2021,Other UK Airports,NEWQUAY,0,0,0
2021-03-01,March 2021,Other UK Airports,NORWICH,6779,6779,0
2021-03-01,March 2021,Other UK Airports,PRESTWICK,59,31,28
2021-03-01,March 2021,Other UK Airports,SCATSTA,0,0,0
2021-03-01,March 2021,Other UK Airports,SOUTHAMPTON,2968,2968,0
2021-03-01,March 2021,London Area Airports,SOUTHEND,0,0,0
2021-03-01,March 2021,London Area Airports,STANSTED,44774,44774,0
2021-03-01,March 2021,Other UK Airports,STORNOWAY,1817,1709,108
2021-03-01,March 2021,Other UK Airports,SUMBURGH,10876,10788,88
2021-03-01,March 2021,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,2022,1559,463
2021-03-01,March 2021,Other UK Airports,TIREE,180,173,7
2021-03-01,March 2021,Other UK Airports,WICK JOHN O GROATS,0,0,0
2021-04-01,April 2021,Other UK Airports,ABERDEEN,57388,57388,0
2021-04-01,April 2021,Non UK Reporting Airports,ALDERNEY,4080,4080,0
2021-04-01,April 2021,Other UK Airports,BARRA,389,389,0
2021-04-01,April 2021,Other UK Airports,BELFAST CITY (GEORGE BEST),28751,28751,0
2021-04-01,April 2021,Other UK Airports,BELFAST INTERNATIONAL,55416,55416,0
2021-04-01,April 2021,Other UK Airports,BENBECULA,1994,960,1034
2021-04-01,April 2021,Other UK Airports,BIGGIN HILL,96,96,0
2021-04-01,April 2021,Other UK Airports,BIRMINGHAM,27288,27288,0
2021-04-01,April 2021,Other UK Airports,BLACKPOOL,0,0,0
2021-04-01,April 2021,Other UK Airports,BOURNEMOUTH,85,85,0
2021-04-01,April 2021,Other UK Airports,BRISTOL,12886,12886,0
2021-04-01,April 2021,Other UK Airports,CAMPBELTOWN,119,115,4
2021-04-01,April 2021,Other UK Airports,CARDIFF WALES,502,502,0
2021-04-01,April 2021,Other UK Airports,CITY OF DERRY (EGLINTON),3360,3360,0
2021-04-01,April 2021,Other UK Airports,DONCASTER SHEFFIELD,4297,4297,0
2021-04-01,April 2021,Other UK Airports,DUNDEE,239,239,0
2021-04-01,April 2021,Other UK Airports,EAST MIDLANDS INTERNATIONAL,78,78,0
2021-04-01,April 2021,Other UK Airports,EDINBURGH,32444,32444,0
2021-04-01,April 2021,Other UK Airports,EXETER,1617,1617,0
2021-04-01,April 2021,London Area Airports,GATWICK,48687,48687,0
2021-04-01,April 2021,Other UK Airports,GLASGOW,30872,30872,0
2021-04-01,April 2021,Non UK Reporting Airports,GUERNSEY,5860,5860,0
2021-04-01,April 2021,London Area Airports,HEATHROW,536040,536040,0
2021-04-01,April 2021,Other UK Airports,HUMBERSIDE,1514,1501,13
2021-04-01,April 2021,Other UK Airports,INVERNESS,1848,1670,178
2021-04-01,April 2021,Other UK Airports,ISLAY,309,304,5
2021-04-01,April 2021,Non UK Reporting Airports,ISLE OF MAN,1452,1452,0
2021-04-01,April 2021,Other UK Airports,ISLES OF SCILLY (ST.MARYS),4016,4016,0
2021-04-01,April 2021,Non UK Reporting Airports,JERSEY,7036,7036,0
2021-04-01,April 2021,Other UK Airports,KIRKWALL,4317,3220,1097
2021-04-01,April 2021,Other UK Airports,LANDS END (ST JUST),3181,3181,0
2021-04-01,April 2021,Other UK Airports,LEEDS BRADFORD,1205,1205,0
2021-04-01,April 2021,Other UK Airports,LERWICK (TINGWALL),141,141,0
2021-04-01,April 2021,Other UK Airports,LIVERPOOL (JOHN LENNON),11230,11230,0
2021-04-01,April 2021,London Area Airports,LONDON CITY,10839,10839,0
2021-04-01,April 2021,London Area Airports,LUTON,108743,108743,0
2021-04-01,April 2021,Other UK Airports,MANCHESTER,80822,80822,0
2021-04-01,April 2021,Other UK Airports,NEWCASTLE,13120,13120,0
2021-04-01,April 2021,Other UK Airports,NEWQUAY,32,32,0
2021-04-01,April 2021,Other UK Airports,NORWICH,7414,7414,0
2021-04-01,April 2021,Other UK Airports,OXFORD (KIDLINGTON),110,110,0
2021-04-01,April 2021,Other UK Airports,PRESTWICK,0,0,0
2021-04-01,April 2021,Other UK Airports,SCATSTA,0,0,0
2021-04-01,April 2021,Other UK Airports,SOUTHAMPTON,4590,4590,0
2021-04-01,April 2021,London Area Airports,SOUTHEND,0,0,0
2021-04-01,April 2021,London Area Airports,STANSTED,84826,84826,0
2021-04-01,April 2021,Other UK Airports,STORNOWAY,2184,2069,115
2021-04-01,April 2021,Other UK Airports,SUMBURGH,11453,11373,80
2021-04-01,April 2021,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,2346,1887,459
2021-04-01,April 2021,Other UK Airports,TIREE,251,244,7
2021-05-01,May 2021,Other UK Airports,ABERDEEN,71808,71808,0
2021-05-01,May 2021,Non UK Reporting Airports,ALDERNEY,4251,4251,0
2021-05-01,May 2021,Other UK Airports,BARRA,1211,1211,0
2021-05-01,May 2021,Other UK Airports,BELFAST CITY (GEORGE BEST),37665,37665,0
2021-05-01,May 2021,Other UK Airports,BELFAST INTERNATIONAL,116925,116925,0
2021-05-01,May 2021,Other UK Airports,BENBECULA,2092,1620,472
2021-05-01,May 2021,Other UK Airports,BIGGIN HILL,204,204,0
2021-05-01,May 2021,Other UK Airports,BIRMINGHAM,49722,49680,42
2021-05-01,May 2021,Other UK Airports,BLACKPOOL,0,0,0
2021-05-01,May 2021,Other UK Airports,BOURNEMOUTH,1657,1657,0
2021-05-01,May 2021,Other UK Airports,BRISTOL,42600,42600,0
2021-05-01,May 2021,Other UK Airports,CAMPBELTOWN,473,305,168
2021-05-01,May 2021,Other UK Airports,CARDIFF WALES,1188,1188,0
2021-05-01,May 2021,Other UK Airports,CITY OF DERRY (EGLINTON),4469,4469,0
2021-05-01,May 2021,Other UK Airports,DONCASTER SHEFFIELD,8676,8676,0
2021-05-01,May 2021,Other UK Airports,DUNDEE,1354,1354,0
2021-05-01,May 2021,Other UK Airports,EAST MIDLANDS INTERNATIONAL,1971,1971,0
2021-05-01,May 2021,Other UK Airports,EDINBURGH,80572,80572,0
2021-05-01,May 2021,Other UK Airports,EXETER,4608,4608,0
2021-05-01,May 2021,London Area Airports,GATWICK,133481,133465,16
2021-05-01,May 2021,Other UK Airports,GLASGOW,76721,76721,0
2021-05-01,May 2021,Non UK Reporting Airports,GUERNSEY,7687,7687,0
2021-05-01,May 2021,London Area Airports,HEATHROW,675375,675214,161
2021-05-01,May 2021,Other UK Airports,HUMBERSIDE,1661,1661,0
2021-05-01,May 2021,Other UK Airports,INVERNESS,13627,13423,204
2021-05-01,May 2021,Other UK Airports,ISLAY,1035,976,59
2021-05-01,May 2021,Non UK Reporting Airports,ISLE OF MAN,2701,2701,0
2021-05-01,May 2021,Other UK Airports,ISLES OF SCILLY (ST.MARYS),8123,8123,0
2021-05-01,May 2021,Non UK Reporting Airports,JERSEY,25990,25990,0
2021-05-01,May 2021,Other UK Airports,KIRKWALL,5691,5160,531
2021-05-01,May 2021,Other UK Airports,LANDS END (ST JUST),5562,5562,0
2021-05-01,May 2021,Other UK Airports,LEEDS BRADFORD,4126,4126,0
2021-05-01,May 2021,Other UK Airports,LERWICK (TINGWALL),242,242,0
2021-05-01,May 2021,Other UK Airports,LIVERPOOL (JOHN LENNON),28298,28298,0
2021-05-01,May 2021,London Area Airports,LONDON CITY,18981,18981,0
2021-05-01,May 2021,London Area Airports,LUTON,184761,184761,0
2021-05-01,May 2021,Other UK Airports,MANCHESTER,118770,118770,0
2021-05-01,May 2021,Other UK Airports,NEWCASTLE,22687,22651,36
2021-05-01,May 2021,Other UK Airports,NEWQUAY,2875,2875,0
2021-05-01,May 2021,Other UK Airports,NORWICH,8345,8345,0
2021-05-01,May 2021,Other UK Airports,OXFORD (KIDLINGTON),50,50,0
2021-05-01,May 2021,Other UK Airports,PRESTWICK,293,293,0
2021-05-01,May 2021,Other UK Airports,SCATSTA,0,0,0
2021-05-01,May 2021,Other UK Airports,SOUTHAMPTON,11929,11929,0
2021-05-01,May 2021,London Area Airports,SOUTHEND,107,107,0
2021-05-01,May 2021,London Area Airports,STANSTED,145581,145581,0
2021-05-01,May 2021,Other UK Airports,STORNOWAY,4566,4148,418
2021-05-01,May 2021,Other UK Airports,SUMBURGH,12892,12560,332
2021-05-01,May 2021,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,3787,3216,571
2021-05-01,May 2021,Other UK Airports,TIREE,741,728,13
2021-05-01,May 2021,Other UK Airports,WICK JOHN O GROATS,0,0,0
2021-06-01,June 2021,Other UK Airports,ABERDEEN,88602,88602,0
2021-06-01,June 2021,Non UK Reporting Airports,ALDERNEY,3617,3617,0
2021-06-01,June 2021,Other UK Airports,BARRA,1397,1397,0
2021-06-01,June 2021,Other UK Airports,BELFAST CITY (GEORGE BEST),68887,68887,0
2021-06-01,June 2021,Other UK Airports,BELFAST INTERNATIONAL,174616,174616,0
2021-06-01,June 2021,Other UK Airports,BENBECULA,2166,2010,156
2021-06-01,June 2021,Other UK Airports,BIGGIN HILL,184,184,0
2021-06-01,June 2021,Other UK Airports,BIRMINGHAM,94065,93964,101
2021-06-01,June 2021,Other UK Airports,BLACKPOOL,0,0,0
2021-06-01,June 2021,Other UK Airports,BOURNEMOUTH,9501,9501,0
2021-06-01,June 2021,Other UK Airports,BRISTOL,86857,86607,250
2021-06-01,June 2021,Other UK Airports,CAMPBELTOWN,525,337,188
2021-06-01,June 2021,Other UK Airports,CARDIFF WALES,4334,4334,0
2021-06-01,June 2021,Other UK Airports,CITY OF DERRY (EGLINTON),7396,7396,0
2021-06-01,June 2021,Other UK Airports,DONCASTER SHEFFIELD,12938,12938,0
2021-06-01,June 2021,Other UK Airports,DUNDEE,2105,2105,0
2021-06-01,June 2021,Other UK Airports,EAST MIDLANDS INTERNATIONAL,20995,20748,247
2021-06-01,June 2021,Other UK Airports,EDINBURGH,176464,176464,0
2021-06-01,June 2021,Other UK Airports,EXETER,8974,8974,0
2021-06-01,June 2021,London Area Airports,GATWICK,233821,233672,149
2021-06-01,June 2021,Other UK Airports,GLASGOW,132554,132554,0
2021-06-01,June 2021,Non UK Reporting Airports,GUERNSEY,8645,8645,0
2021-06-01,June 2021,London Area Airports,HEATHROW,956862,956681,181
2021-06-01,June 2021,Other UK Airports,HUMBERSIDE,2263,2263,0
2021-06-01,June 2021,Other UK Airports,INVERNESS,35413,35394,19
2021-06-01,June 2021,Other UK Airports,ISLAY,1300,1222,78
2021-06-01,June 2021,Non UK Reporting Airports,ISLE OF MAN,5230,5230,0
2021-06-01,June 2021,Other UK Airports,ISLES OF SCILLY (ST.MARYS),8995,8995,0
2021-06-01,June 2021,Non UK Reporting Airports,JERSEY,56967,56967,0
2021-06-01,June 2021,Other UK Airports,KIRKWALL,8669,7346,1323
2021-06-01,June 2021,Other UK Airports,LANDS END (ST JUST),5998,5972,26
2021-06-01,June 2021,Other UK Airports,LEEDS BRADFORD,14359,14359,0
2021-06-01,June 2021,Other UK Airports,LERWICK (TINGWALL),369,369,0
2021-06-01,June 2021,Other UK Airports,LIVERPOOL (JOHN LENNON),63320,63320,0
2021-06-01,June 2021,London Area Airports,LONDON CITY,31530,31530,0
2021-06-01,June 2021,London Area Airports,LUTON,261999,261999,0
2021-06-01,June 2021,Other UK Airports,MANCHESTER,204947,204947,0
2021-06-01,June 2021,Other UK Airports,NEWCASTLE,39032,38987,45
2021-06-01,June 2021,Other UK Airports,NEWQUAY,10999,10999,0
2021-06-01,June 2021,Other UK Airports,NORWICH,9549,9549,0
2021-06-01,June 2021,Other UK Airports,OXFORD (KIDLINGTON),44,44,0
2021-06-01,June 2021,Other UK Airports,PRESTWICK,2812,2812,0
2021-06-01,June 2021,Other UK Airports,SCATSTA,0,0,0
2021-06-01,June 2021,Other UK Airports,SOUTHAMPTON,17256,17256,0
2021-06-01,June 2021,London Area Airports,SOUTHEND,4523,4523,0
2021-06-01,June 2021,London Area Airports,STANSTED,351686,351686,0
2021-06-01,June 2021,Other UK Airports,STORNOWAY,6075,5775,300
2021-06-01,June 2021,Other UK Airports,SUMBURGH,17588,16996,592
2021-06-01,June 2021,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,8371,7297,1074
2021-06-01,June 2021,Other UK Airports,TIREE,1010,1004,6
