date,month_year,airport_group,airport,total_passengers,terminal_passengers,transit_passengers
2015-03-01,March 2015,Other UK Airports,ISLES OF SCILLY (ST.MARYS),5189,5189,0
2015-03-01,March 2015,Non UK Reporting Airports,JERSEY,112421,110606,1815
2015-03-01,March 2015,Other UK Airports,KIRKWALL,12818,11992,826
2015-03-01,March 2015,Other UK Airports,LANDS END (ST JUST),3917,3863,54
2015-03-01,March 2015,Other UK Airports,LEEDS BRADFORD,205718,203245,2473
2015-03-01,March 2015,Other UK Airports,LERWICK (TINGWALL),289,289,0
2015-03-01,March 2015,Other UK Airports,LIVERPOOL (JOHN LENNON),320751,320569,182
2015-03-01,March 2015,London Area Airports,LONDON CITY,378776,378776,0
2015-03-01,March 2015,London Area Airports,LUTON,839319,839316,3
2015-03-01,March 2015,Other UK Airports,LYDD,0,0,0
2015-03-01,March 2015,Other UK Airports,MANCHESTER,1574561,1570488,4073
2015-03-01,March 2015,Other UK Airports,MANSTON (KENT INT),0,0,0
2015-03-01,March 2015,Other UK Airports,NEWCASTLE,300766,300475,291
2015-03-01,March 2015,Other UK Airports,NEWQUAY,16284,16210,74
2015-03-01,March 2015,Other UK Airports,NORWICH,29511,29511,0
2015-03-01,March 2015,Other UK Airports,OXFORD (KIDLINGTON),0,0,0
2015-03-01,March 2015,Other UK Airports,PRESTWICK,24236,24236,0
2015-03-01,March 2015,Other UK Airports,SCATSTA,23972,23972,0
2015-03-01,March 2015,Other UK Airports,SHOREHAM,29,29,0
2015-03-01,March 2015,Other UK Airports,SOUTHAMPTON,148915,147198,1717
2015-03-01,March 2015,London Area Airports,SOUTHEND,74571,74571,0
2015-03-01,March 2015,London Area Airports,STANSTED,1666162,1665751,411
2015-03-01,March 2015,Other UK Airports,STORNOWAY,10614,10397,217
2015-03-01,March 2015,Other UK Airports,SUMBURGH,20913,20776,137
2015-03-01,March 2015,Other UK Airports,TIREE,640,625,15
2015-03-01,March 2015,Other UK Airports,WICK JOHN O GROATS,2114,2054,60
2015-04-01,April 2015,Other UK Airports,ABERDEEN,298203,298196,7
2015-04-01,April 2015,Non UK Reporting Airports,ALDERNEY,4968,4968,0
2015-04-01,April 2015,Other UK Airports,BARRA,699,699,0
2015-04-01,April 2015,Other UK Airports,BELFAST CITY (GEORGE BEST),222410,222410,0
2015-04-01,April 2015,Other UK Airports,BELFAST INTERNATIONAL,340708,340519,189
2015-04-01,April 2015,Other UK Airports,BENBECULA,2516,2516,0
2015-04-01,April 2015,Other UK Airports,BIGGIN HILL,32,32,0
2015-04-01,April 2015,Other UK Airports,BIRMINGHAM,771483,770463,1020
2015-04-01,April 2015,Other UK Airports,BLACKPOOL,3068,3068,0
2015-04-01,April 2015,Other UK Airports,BOURNEMOUTH,52877,52877,0
2015-04-01,April 2015,Other UK Airports,BRISTOL,536549,536175,374
2015-04-01,April 2015,Other UK Airports,CAMBRIDGE,177,177,0
2015-04-01,April 2015,Other UK Airports,CAMPBELTOWN,704,704,0
2015-04-01,April 2015,Other UK Airports,CARDIFF WALES,57138,57131,7
2015-04-01,April 2015,Other UK Airports,CITY OF DERRY (EGLINTON),22875,22875,0
2015-04-01,April 2015,Other UK Airports,COVENTRY,0,0,0
2015-04-01,April 2015,Other UK Airports,DONCASTER SHEFFIELD,55662,55662,0
2015-04-01,April 2015,Other UK Airports,DUNDEE,1539,1508,31
2015-04-01,April 2015,Other UK Airports,DURHAM TEES VALLEY,12230,12208,22
2015-04-01,April 2015,Other UK Airports,EAST MIDLANDS INTERNATIONAL,362412,361807,605
2015-04-01,April 2015,Other UK Airports,EDINBURGH,927707,927707,0
2015-04-01,April 2015,Other UK Airports,EXETER,60348,60237,111
2015-04-01,April 2015,London Area Airports,GATWICK,3180523,3179929,594
2015-04-01,April 2015,Other UK Airports,GLASGOW,665137,664948,189
2015-04-01,April 2015,Other UK Airports,GLOUCESTERSHIRE,1071,1071,0
2015-04-01,April 2015,Non UK Reporting Airports,GUERNSEY,72122,69346,2776
2015-04-01,April 2015,London Area Airports,HEATHROW,6145379,6143510,1869
2015-04-01,April 2015,Other UK Airports,HUMBERSIDE,16858,16785,73
2015-04-01,April 2015,Other UK Airports,INVERNESS,59376,59234,142
2015-04-01,April 2015,Other UK Airports,ISLAY,2417,2393,24
2015-04-01,April 2015,Non UK Reporting Airports,ISLE OF MAN,61945,61905,40
2015-04-01,April 2015,Other UK Airports,ISLES OF SCILLY (ST.MARYS),8781,8781,0
2015-04-01,April 2015,Non UK Reporting Airports,JERSEY,122190,120556,1634
2015-04-01,April 2015,Other UK Airports,KIRKWALL,12761,11802,959
2015-04-01,April 2015,Other UK Airports,LANDS END (ST JUST),2990,2990,0
2015-04-01,April 2015,Other UK Airports,LEEDS BRADFORD,265446,264923,523
2015-04-01,April 2015,Other UK Airports,LERWICK (TINGWALL),337,337,0
2015-04-01,April 2015,Other UK Airports,LIVERPOOL (JOHN LENNON),366865,366026,839
2015-04-01,April 2015,London Area Airports,LONDON CITY,347167,347167,0
2015-04-01,April 2015,London Area Airports,LUTON,989729,989708,21
2015-04-01,April 2015,Other UK Airports,LYDD,41,41,0
2015-04-01,April 2015,Other UK Airports,MANCHESTER,1724804,1720957,3847
2015-04-01,April 2015,Other UK Airports,MANSTON (KENT INT),0,0,0
2015-04-01,April 2015,Other UK Airports,NEWCASTLE,331170,330862,308
2015-04-01,April 2015,Other UK Airports,NEWQUAY,19115,18874,241
2015-04-01,April 2015,Other UK Airports,NORWICH,32385,32380,5
2015-04-01,April 2015,Other UK Airports,OXFORD (KIDLINGTON),0,0,0
2015-04-01,April 2015,Other UK Airports,PRESTWICK,63845,63845,0
2015-04-01,April 2015,Other UK Airports,SCATSTA,26314,26314,0
2015-04-01,April 2015,Other UK Airports,SHOREHAM,24,24,0
2015-04-01,April 2015,Other UK Airports,SOUTHAMPTON,147752,146048,1704
2015-04-01,April 2015,London Area Airports,SOUTHEND,74506,74506,0
2015-04-01,April 2015,London Area Airports,STANSTED,1900625,1900521,104
2015-04-01,April 2015,Other UK Airports,STORNOWAY,10522,10317,205
2015-04-01,April 2015,Other UK Airports,SUMBURGH,21042,20993,49
2015-04-01,April 2015,Other UK Airports,TIREE,682,666,16
2015-04-01,April 2015,Other UK Airports,WICK JOHN O GROATS,1925,1862,63
2015-05-01,May 2015,Other UK Airports,ABERDEEN,297671,297501,170
2015-05-01,May 2015,Non UK Reporting Airports,ALDERNEY,5390,5390,0
2015-05-01,May 2015,Other UK Airports,BARRA,1024,1024,0
